text;topic;label;score;hate_label;hate_score;labels;scores;Top 3
bundesausbildungsförderungsgesetz bafög zukunft jung erwachsene erreichen;Bildung;neutral;0.6085309982299805;neutral;0.9886702299118042;Bildung;0.4616755545139313;
ziel hilfsbedürftig lebenslage gemeinsam bezwingen be schäftigung falls erforderlich qualifizierung weiterbildung ermöglichen;soziale Ursachen;neutral;0.6455543041229248;neutral;0.9821714162826538;soziale Ursachen;0.2925004661083221;
datenschutz gewährleisten geeignet rahmenbedingung gro ßen plattform gesundheitswirtschaft dominieren;Gesundheit;neutral;0.6039836406707764;neutral;0.981410264968872;Gesundheit;0.4783477783203125;
säule dauerhaft ausweitung pandemiebedingt erhöht kinderkrank pro kind elternteil elterngeld akut kind maximal pro elternteil alleinerziehend;Gesundheit;neutral;0.7086147665977478;neutral;0.9520012140274048;Gesundheit;0.2268085926771164;
sorgen gleichwertig le bensverhältnisse stadt land;Infrastruktur;negativ;0.7304743528366089;neutral;0.98405784368515;Infrastruktur;0.2780881822109222;
bürgergeld digital unkompliziert zugänglich;wirtschaft;positiv;0.8224790096282959;neutral;0.989812672138214;wirtschaft;0.4405793845653534;
kombination maßnahme umweltbonus kauf elektroauto förderprogram- men heizungstausch sorgen klimafreundlich alternative attraktiv;Klima;positiv;0.611627459526062;neutral;0.9883198738098145;Klima;0.3358089923858642;
gehören einreiseverbot einfrieren konto;Politik und Ideologie;neutral;0.6086252927780151;neutral;0.934700608253479;Politik und Ideologie;0.4022923707962036;
corona-krise erneut zeigen sozial sicherung minijob unzureichend;Gesundheit;negativ;0.7479233145713806;neutral;0.98792165517807;Gesundheit;0.3311130106449127;
mensch wunsch verwirk- lich ziel erreichen;soziale Ursachen;neutral;0.6062629222869873;neutral;0.9739434719085692;soziale Ursachen;0.2261306494474411;
sorgen geeignet dach solaranlage bekommen;Klima;neutral;0.5968793034553528;neutral;0.9902722239494324;Klima;0.2856222987174988;
exzellenzstrategie entwickeln ergänzen unterstützung regional kooperation hochschule forschungseinrichtung;Bildung;neutral;0.6769217848777771;neutral;0.9792226552963256;Bildung;0.4726242125034332;
wertschätzung jeder einzelner unterschied;soziale Ursachen;neutral;0.5839583277702332;neutral;0.9895064234733582;soziale Ursachen;0.314318299293518;
schienenverkehr schwerpunkt verkehrspolitisch agenda;Infrastruktur;neutral;0.8663657307624817;neutral;0.9625158905982972;Infrastruktur;0.6001558899879456;
sozial politik zukunftsprogramm spd;Politik und Ideologie;neutral;0.7876343727111816;neutral;0.9441074132919312;Politik und Ideologie;0.5687914490699768;
