text,topic,label,score,hate_label,hate_score,labels,scores,Top 3
e besonderer sprachförderbedarf feststellen verpflichtend qualitativ wirksam durchgehend sprachförderung kindertagesstätte vorschule erteilen,Bildung,neutral,0.7880480885505676,neutral,0.9871639013290404,gesundheit,0.3379838466644287,"[('gesundheit', 0.3379838466644287), ('bildung', 0.2631058096885681), ('infrastruktur', 0.12869836390018463)]"
notwendig transformation begleiten bedeutung projektarbeit stärken prozessbegleitend beratung weiterbildung fördern rechtsfra- gen klären,Bildung,neutral,0.6837931871414185,neutral,0.9850748777389526,gesundheit,0.266405701637268,"[('gesundheit', 0.26640570163726807), ('bildung', 0.19786570966243744), ('none', 0.1024232730269432)]"
investieren früh bildung ferienfreizeit familienerholung zusätzlich sozialarbeit,Gesundheit,neutral,0.7413460612297058,neutral,0.9891933798789978,bildung,0.4336075484752655,"[('bildung', 0.4336075484752655), ('wirtschaft', 0.2062818557024002), ('soziale ursachen', 0.12233299762010574)]"
chance digitalisierung künstlichen intelligenz nutzen,Gesundheit,positiv,0.520008385181427,neutral,0.9883588552474976,bildung,0.3039723932743072,"[('bildung', 0.30397239327430725), ('gesundheit', 0.18927891552448273), ('soziale ursachen', 0.11201110482215881)]"
mensch bahn fahrrad umsteigen weiterhin land gut straße auto bus unterwegs,Infrastruktur,neutral,0.723962128162384,neutral,0.9717734456062316,infrastruktur,0.3036670982837677,"[('infrastruktur', 0.3036670982837677), ('gesundheit', 0.18935617804527283), ('bildung', 0.18434475362300873)]"
gesamt bürgerlich vertragsrecht insbesondere elektro- nisch rechtsverkehr modernisieren,Infrastruktur,neutral,0.8178136348724365,neutral,0.9863839745521544,bildung,0.2802976667881012,"[('bildung', 0.2802976667881012), ('gesundheit', 0.2591266632080078), ('politik und ideologie', 0.11143674701452255)]"
gehören energiegewinnung sonne wind genauso nachhaltig biomaß wasserkraft geothermie ländlich raum,Klima,neutral,0.8574150800704956,neutral,0.9718481302261353,wirtschaft,0.2788100242614746,"[('wirtschaft', 0.2788100242614746), ('bildung', 0.22325296700000763), ('gesundheit', 0.21511194109916687)]"
  transformation notwendig technologie existieren,Klima,neutral,0.7498705983161926,neutral,0.9893594980239868,bildung,0.4229326248168945,"[('bildung', 0.42293262481689453), ('gesundheit', 0.22892361879348755), ('soziale ursachen', 0.09297605603933334)]"
pande miebedingen kind erwachsene sport schmerzlich vermissen sportver sportstättenbetreiber stark beuteln,Politik und Ideologie,negativ,0.8479467034339905,neutral,0.9874786138534546,gesundheit,0.3977568745613098,"[('gesundheit', 0.3977568745613098), ('bildung', 0.2571335434913635), ('klima', 0.11752750724554062)]"
leistungsfähigkeit modern staat bürgerin bürger   unions-versprechen verlässlich leistungsfähig staat sorgen verwaltung einfach nutzerfreundlich,Politik und Ideologie,neutral,0.5267903804779053,neutral,0.9895483255386353,bildung,0.3720587790012359,"[('bildung', 0.37205877900123596), ('wissenschaft', 0.1208602786064148), ('klima', 0.1114846020936966)]"
e beginnen behörde forschungseinrichtung dezentralisie- ren osten deutschland ansiedeln,Wissenschaft,neutral,0.7502055168151855,neutral,0.9811232686042786,bildung,0.3161104321479797,"[('bildung', 0.31611043214797974), ('gesundheit', 0.120616115629673), ('politik und ideologie', 0.11290264129638672)]"
attrakti ven angebot deutsch bahn maximal synergie güter perso nenverkehr unser schienensystem nutzen,Wissenschaft,positiv,0.4945440292358398,neutral,0.9854807257652284,bildung,0.2854368388652801,"[('bildung', 0.28543683886528015), ('gesundheit', 0.2373458743095398), ('soziale ursachen', 0.10822512209415436)]"
e gemeinsam agrarpolitik gap systemwechsel erfolgen ökologisch nachhaltigkeit,soziale Ursachen,neutral,0.7867763638496399,neutral,0.9866016507148744,bildung,0.3516181111335754,"[('bildung', 0.35161811113357544), ('gesundheit', 0.22304555773735046), ('wissenschaft', 0.11423392593860626)]"
fairness sozial sicherheit gesellschaftlich   zusammenhalt,soziale Ursachen,neutral,0.6937426328659058,neutral,0.9678046107292176,bildung,0.3111279904842376,"[('bildung', 0.31112799048423767), ('soziale ursachen', 0.25141045451164246), ('gesundheit', 0.19221392273902893)]"
sicher arbeit zukunft,wirtschaft,neutral,0.5952911972999573,neutral,0.9155495166778564,gesundheit,0.309826135635376,"[('gesundheit', 0.309826135635376), ('wirtschaft', 0.24125108122825623), ('bildung', 0.1522057056427002)]"
versorgung al- len leistung daseinsvorsorge gut dienstleistung vor-ort-angebote digital möglichkeit anbindung zusammenbringen,wirtschaft,neutral,0.6341117024421692,neutral,0.983630359172821,bildung,0.2528705894947052,"[('bildung', 0.2528705894947052), ('gesundheit', 0.20826192200183868), ('infrastruktur', 0.1420230269432068)]"
